date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:31:16	482/482	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Jul%202022%2023:31:41%20GMT	https://app.app-valley.vip/robots.txt		(from )
06:31:16	359395/359395	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2022:19:11%20GMT	https://app.app-valley.vip/	C:/Users/KT_Personals/Desktop/C/app.app-valley.vip/index.html	(from )
06:31:16	4210/4210	---M-Z	200	added ('OK')	application/javascript	etag:%222b4bb0a8f164d81a9e83049584ee4f3c%22	https://app.app-valley.vip/cdn-cgi/apps/head/e7fpxs73m0h9ua0WLXdssAqPFjU.js	C:/Users/KT_Personals/Desktop/C/app.app-valley.vip/cdn-cgi/apps/head/e7fpxs73m0h9ua0WLXdssAqPFjU.js	(from https://app.app-valley.vip/)
06:31:17	33844/33844	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2009%20Jul%202022%2023:31:42%20GMT	http://graduateelbows.com/f1/26/5e/f1265e8bfa33d5c1f54ec63bf220d738.js	C:/Users/KT_Personals/Desktop/C/graduateelbows.com/f1/26/5e/f1265e8bfa33d5c1f54ec63bf220d738.js	(from https://app.app-valley.vip/)
06:31:17	49446/49446	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2009%20Jul%202022%2023:31:42%20GMT	http://graduateelbows.com/08/ab/5c/08ab5c5b72a812a9fbe1e8d5965d3d77.js	C:/Users/KT_Personals/Desktop/C/graduateelbows.com/08/ab/5c/08ab5c5b72a812a9fbe1e8d5965d3d77.js	(from https://app.app-valley.vip/)
06:31:17	258321/258321	---MCZ	200	added ('OK')	text/css	etag:W/%225ce4b971-3f111%22	https://app.app-valley.vip/css/framework7.ios.min.css	C:/Users/KT_Personals/Desktop/C/app.app-valley.vip/css/framework7.ios.min.css	(from https://app.app-valley.vip/)
06:31:17	128524/128524	---MCZ	200	added ('OK')	text/css	etag:W/%225ce4b971-1f60c%22	https://app.app-valley.vip/css/framework7.ios.colors.min.css	C:/Users/KT_Personals/Desktop/C/app.app-valley.vip/css/framework7.ios.colors.min.css	(from https://app.app-valley.vip/)
06:31:18	36518/36518	---MCZ	200	added ('OK')	text/css	etag:W/%225ce906c2-8ea6%22	https://app.app-valley.vip/css/appvalley.css	C:/Users/KT_Personals/Desktop/C/app.app-valley.vip/css/appvalley.css	(from https://app.app-valley.vip/)
06:31:18	69257/69257	---M--	200	added ('OK')	image/png	etag:%225a6fe7c9-10e89%22	https://app.app-valley.vip/apple-touch-icon.png	C:/Users/KT_Personals/Desktop/C/app.app-valley.vip/apple-touch-icon.png	(from https://app.app-valley.vip/)
06:31:18	328114/328114	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b386cf7-501b2%22	https://app.app-valley.vip/js/framework7.min.js	C:/Users/KT_Personals/Desktop/C/app.app-valley.vip/js/framework7.min.js	(from https://app.app-valley.vip/)
06:31:18	18181/18181	---M--	200	added ('OK')	image/png	etag:%225a6ffa8d-4705%22	https://content.app-valley.vip/icon/2.png	C:/Users/KT_Personals/Desktop/C/content.app-valley.vip/icon/2.png	(from https://app.app-valley.vip/)
06:31:19	35277/35277	---M--	200	added ('OK')	image/jpeg	etag:%2262ca0876-89cd%22	https://content.app-valley.vip/icon/1704.jpg	C:/Users/KT_Personals/Desktop/C/content.app-valley.vip/icon/1704.jpg	(from https://app.app-valley.vip/)
06:31:19	3810/3810	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2022:08:21%20GMT	https://app.app-valley.vip/install_pages/install.php?id=1704	C:/Users/KT_Personals/Desktop/C/app.app-valley.vip/install_pages/install856d.html	(from https://app.app-valley.vip/)
06:31:19	10112/10112	---M--	200	added ('OK')	image/jpeg	etag:%2262ca0876-2780%22	https://content.app-valley.vip/icon/1701.jpg	C:/Users/KT_Personals/Desktop/C/content.app-valley.vip/icon/1701.jpg	(from https://app.app-valley.vip/)
06:31:19	3806/3806	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2021:06:00%20GMT	https://app.app-valley.vip/install_pages/install.php?id=1701	C:/Users/KT_Personals/Desktop/C/app.app-valley.vip/install_pages/install80d2.html	(from https://app.app-valley.vip/)
06:31:19	68329/68329	---M--	200	added ('OK')	image/jpeg	etag:%2262ca0876-10ae9%22	https://content.app-valley.vip/icon/1697.jpg	C:/Users/KT_Personals/Desktop/C/content.app-valley.vip/icon/1697.jpg	(from https://app.app-valley.vip/)
06:31:20	4984/4984	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2022:39:55%20GMT	https://app.app-valley.vip/install_pages/install.php?id=1697	C:/Users/KT_Personals/Desktop/C/app.app-valley.vip/install_pages/install6991.html	(from https://app.app-valley.vip/)
06:31:20	17024/17024	---M--	200	added ('OK')	image/jpeg	etag:%2262ca0876-4280%22	https://content.app-valley.vip/icon/246.jpg	C:/Users/KT_Personals/Desktop/C/content.app-valley.vip/icon/246.jpg	(from https://app.app-valley.vip/)
06:31:20	4212/4212	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2021:08:11%20GMT	https://app.app-valley.vip/install_pages/install.php?id=246	C:/Users/KT_Personals/Desktop/C/app.app-valley.vip/install_pages/installa0a6.html	(from https://app.app-valley.vip/)
06:31:20	10339/10339	---M--	200	added ('OK')	image/jpeg	etag:%2262ca0875-2863%22	https://content.app-valley.vip/icon/1673.jpg	C:/Users/KT_Personals/Desktop/C/content.app-valley.vip/icon/1673.jpg	(from https://app.app-valley.vip/)
06:31:21	3902/3902	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2023:26:53%20GMT	https://app.app-valley.vip/install_pages/install.php?id=1673	C:/Users/KT_Personals/Desktop/C/app.app-valley.vip/install_pages/installd76e.html	(from https://app.app-valley.vip/)
06:31:21	16543/16543	---M--	200	added ('OK')	image/jpeg	etag:%2262ca0874-409f%22	https://content.app-valley.vip/icon/1489.jpg	C:/Users/KT_Personals/Desktop/C/content.app-valley.vip/icon/1489.jpg	(from https://app.app-valley.vip/)
06:31:21	4105/4105	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2021:31:56%20GMT	https://app.app-valley.vip/install_pages/install.php?id=1489	C:/Users/KT_Personals/Desktop/C/app.app-valley.vip/install_pages/installb5df.html	(from https://app.app-valley.vip/)
06:31:21	10210/10210	---M--	200	added ('OK')	image/jpeg	etag:%2262ca0878-27e2%22	https://content.app-valley.vip/icon/672.jpg	C:/Users/KT_Personals/Desktop/C/content.app-valley.vip/icon/672.jpg	(from https://app.app-valley.vip/)
06:31:21	4011/4011	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2022:34:58%20GMT	https://app.app-valley.vip/install_pages/install.php?id=672	C:/Users/KT_Personals/Desktop/C/app.app-valley.vip/install_pages/install1931.html	(from https://app.app-valley.vip/)
06:31:22	6585/6585	---M--	200	added ('OK')	image/jpeg	etag:%2262ca0876-19b9%22	https://content.app-valley.vip/icon/202.jpg	C:/Users/KT_Personals/Desktop/C/content.app-valley.vip/icon/202.jpg	(from https://app.app-valley.vip/)
06:31:22	4055/4055	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2022:12:29%20GMT	https://app.app-valley.vip/install_pages/install.php?id=202	C:/Users/KT_Personals/Desktop/C/app.app-valley.vip/install_pages/install2999.html	(from https://app.app-valley.vip/)
06:31:22	14434/14434	---M--	200	added ('OK')	image/jpeg	etag:%2262ca0876-3862%22	https://content.app-valley.vip/icon/194.jpg	C:/Users/KT_Personals/Desktop/C/content.app-valley.vip/icon/194.jpg	(from https://app.app-valley.vip/)
06:31:23	3964/3964	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2022:57:15%20GMT	https://app.app-valley.vip/install_pages/install.php?id=194	C:/Users/KT_Personals/Desktop/C/app.app-valley.vip/install_pages/installae86.html	(from https://app.app-valley.vip/)
06:31:23	10228/10228	---M--	200	added ('OK')	image/jpeg	etag:%2262ca0876-27f4%22	https://content.app-valley.vip/icon/1705.jpg	C:/Users/KT_Personals/Desktop/C/content.app-valley.vip/icon/1705.jpg	(from https://app.app-valley.vip/)
